Person ID,Person Attribute Type,Person Attribute
15140758,Keywords,3D conformal radiotherapy
15140758,Keywords,4D CT
15140758,Keywords,4D Computed tomography
15140758,Keywords,Antigen
15140758,Keywords,Breast cancer
38698883,Keywords,Keyword 1
38698883,Keywords,Keyword 2
38698883,Keywords,Keyword 3
38698883,Keywords,Keyword 5
38704429,Keywords,4D CT
38704429,Keywords,4D Computed tomography
38704429,Keywords,Antigen
38704429,Keywords,Breast cancer
38704429,Keywords,Cavity radiosurgery
38757828,Keywords,Brachytherapy
38757828,Keywords,Cryotherapy
38757828,Keywords,Genetic Engineering
38757828,Keywords,Optical Spectroscopy
38757828,Keywords,Tomotherapy
38768730,Keywords,4D CT
38768730,Keywords,Clinical trials
38768730,Keywords,Dosimetry
38768730,Keywords,Quality Assurnace
38768730,Keywords,Stereotactic body radiation therapy
38768764,Keywords,Deformable registration
38768764,Keywords,Hypofractionation
38768764,Keywords,Prostate cancer
38768764,Keywords,Rapid Arc
38768764,Keywords,Stereotactic body radiation therapy
38768765,Keywords,Hypofractionation
38768765,Keywords,Radiosurgery
38768765,Keywords,Rapid Arc
38768765,Keywords,Stereotactic body radiation therapy
38768765,Keywords,Volumetric modulated
39707271,Keywords,Hypofractionation
39707271,Keywords,Radiosurgery
39707271,Keywords,Robotic
39707271,Keywords,Stereotactic body radiation therapy
39707271,Keywords,Stereotactic radiotherapy
39725130,Keywords,Breast cancer
39725130,Keywords,Colon cancer
39725130,Keywords,Lung cancer esophageal cancer
39725130,Keywords,Prostate cancer
39725130,Keywords,RNAi
39727474,Keywords,3D conformal radiotherapy
39727474,Keywords,Hypofractionation
39727474,Keywords,Prostate cancer
39727474,Keywords,Radiosurgery
39727474,Keywords,Robotic
39727474,Keywords,Stereotactic body radiation therapy
39744416,Keywords,Breast cancer
39744416,Keywords,DNA repair gene
39744416,Keywords,OGG1
39744416,Keywords,Polymorphism
39744416,Keywords,meta-analysis
39831639,Keywords,3D conformal radiotherapy
39831639,Keywords,4D Computed tomography
39831639,Keywords,Head and Neck Cancer
39831639,Keywords,Hypofractionation
39831639,Keywords,Lung cancer esophageal cancer
39831639,Keywords,NSCLC
39831639,Keywords,Stereotactic radiotherapy
39831639,Keywords,Tomotherapy
39858334,Keywords,Head and Neck Cancer
39858334,Keywords,Lung cancer esophageal cancer
39858334,Keywords,NSCLC
39858334,Keywords,Optical biopsy
39858334,Keywords,RNAi
39859882,Keywords,Antigen
39859882,Keywords,Head and Neck Cancer
39859882,Keywords,NSCLC
39859882,Keywords,Stereotactic radiotherapy
39859882,Keywords,Tomotherapy
39863487,Keywords,Breast cancer
39863487,Keywords,Radiosurgery
39863487,Keywords,Rapid Arc
39863487,Keywords,Stereotactic body radiation therapy
39863487,Keywords,Tomotherapy
39866372,Keywords,3D conformal radiotherapy
39866372,Keywords,Hypofractionation
39866372,Keywords,Prostate cancer
39866372,Keywords,Radiosurgery
39866372,Keywords,Stereotactic body radiation therapy
39879166,Keywords,Antigen
39879166,Keywords,ChemosensitivityPolymorphism
39879166,Keywords,Colon cancer
39879166,Keywords,Hypoxia
39879166,Keywords,Metaanalysis
39887204,Keywords,4D CT
39887204,Keywords,Contrast
39887204,Keywords,Liver
39887204,Keywords,Simulation
39887204,Keywords,Stereotactic radiotherapy
39887247,Keywords,3D conformal radiotherapy
39887247,Keywords,Colon cancer
39887247,Keywords,Prostate cancer
39887247,Keywords,Stereotactic body radiation therapy
39887247,Keywords,Stereotactic radiotherapy
39887361,Keywords,3D conformal radiotherapy
39887361,Keywords,Colon cancer
39887361,Keywords,Prostate cancer
39887361,Keywords,Stereotactic body radiation therapy
39887361,Keywords,Stereotactic radiotherapy
